port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUNVS,DEPARTURE,241322000,9270737,2022-03-01T01:05:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004518,9416551,2022-03-01T00:36:00Z,departure,NA,NA
RUULU,DEPARTURE,240290000,9288708,2022-02-28T22:44:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014354,9511521,2022-02-28T22:24:00Z,departure,NA,NA
RUNVS,DEPARTURE,636020999,9838589,2022-02-28T21:24:00Z,departure,NA,NA
RULED,DEPARTURE,275484000,9169782,2022-02-28T20:26:00Z,departure,NA,NA
RUPRI,DEPARTURE,664444000,9365623,2022-02-28T19:08:00Z,departure,NA,NA
RUULU,DEPARTURE,636016406,9327449,2022-02-28T18:42:00Z,departure,NA,NA
RUNVS,DEPARTURE,636016464,9321847,2022-02-28T17:27:00Z,departure,NA,NA
RUULU,DEPARTURE,240730000,9307827,2022-02-28T17:17:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014191,9413559,2022-02-28T16:48:00Z,departure,NA,NA
RUTAM,DEPARTURE,538005399,9686869,2022-02-28T16:42:00Z,departure,NA,NA
RUNVS,DEPARTURE,636018753,9411989,2022-02-28T14:32:00Z,departure,NA,NA
RUTAM,DEPARTURE,538006916,9266877,2022-02-28T13:29:00Z,departure,NA,NA
RUKOZ,DEPARTURE,311000695,9801524,2022-02-28T12:31:00Z,departure,NA,NA
RUNJK,DEPARTURE,273419360,9053206,2022-02-28T11:02:00Z,departure,NA,NA
RULED,DEPARTURE,257037140,9808259,2022-02-28T08:54:00Z,departure,NA,NA
RUULU,DEPARTURE,311931000,9291640,2022-02-28T08:13:00Z,departure,NA,NA
RUULU,DEPARTURE,636019072,9829100,2022-02-28T05:43:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014505,9314882,2022-02-28T04:55:00Z,departure,NA,NA
NA,DEPARTURE,273212310,9837547,2022-02-28T04:10:00Z,departure,NA,NA
RUPRI,DEPARTURE,566577000,9725627,2022-02-28T02:43:00Z,departure,NA,NA
RUVYS,DEPARTURE,538003816,9290828,2022-02-27T23:45:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008333,9587312,2022-02-27T22:03:00Z,departure,NA,NA
NA,DEPARTURE,436000032,9323106,2022-02-27T18:02:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000953,9897834,2022-02-27T17:14:00Z,departure,NA,NA
RUVVO,DEPARTURE,273453790,9166314,2022-02-27T17:06:00Z,departure,NA,NA
RUPRI,DEPARTURE,257031550,9817470,2022-02-27T16:57:00Z,departure,NA,NA
RUULU,DEPARTURE,636018671,9815616,2022-02-27T15:59:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636017656,9354301,2022-02-27T14:31:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636017656,9354301,2022-02-27T14:31:00Z,departure,NA,NA
RUNVS,DEPARTURE,636011641,9256066,2022-02-27T13:47:00Z,departure,NA,NA
RUNVS,DEPARTURE,636011641,9256066,2022-02-27T13:38:00Z,departure,NA,NA
RUULU,DEPARTURE,636093059,9315769,2022-02-27T13:29:00Z,departure,NA,NA
RUPRI,DEPARTURE,538008323,9353096,2022-02-27T13:26:00Z,departure,NA,NA
RUULU,DEPARTURE,636093059,9315769,2022-02-27T13:07:00Z,departure,NA,NA
RUBLT,DEPARTURE,405000238,9793868,2022-02-27T08:00:00Z,departure,NA,NA
RUPKC,DEPARTURE,273210470,9163764,2022-02-27T07:21:00Z,departure,NA,NA
RUULU,DEPARTURE,212240000,9314818,2022-02-27T00:32:00Z,departure,NA,NA
RUTAM,DEPARTURE,319147800,9787936,2022-02-26T23:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014489,9436719,2022-02-26T22:53:00Z,departure,NA,NA
RUPRI,DEPARTURE,636093029,9326897,2022-02-26T22:35:00Z,departure,NA,NA
RUPRI,DEPARTURE,636018830,9826897,2022-02-26T20:44:00Z,departure,NA,NA
RUNVS,DEPARTURE,248159000,9391957,2022-02-26T19:27:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000820,9823041,2022-02-26T18:16:00Z,departure,NA,NA
RUVYP,DEPARTURE,419001624,9573684,2022-02-26T17:32:00Z,departure,NA,NA
RUSAB,DEPARTURE,209508000,9804033,2022-02-26T13:26:00Z,departure,NA,NA
