port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUULU,departure,636012813,9305568,2022-03-02T19:06:00Z,fully_laden,load,14.2,NA,NA
RUKOZ,departure,413848000,9846005,2022-03-02T17:52:00Z,fully_laden,load,14,NA,NA
RUNVS,departure,248902000,9379612,2022-03-02T15:56:00Z,fully_laden,load,11.8,NA,NA
RUPRI,departure,248024000,9737400,2022-03-02T13:56:00Z,fully_laden,load,14.3,NA,NA
RUSAB,departure,273436640,9171175,2022-03-02T13:37:00Z,partially_laden,discharge,7.8,NA,NA
RUULU,departure,240235000,9276597,2022-03-02T10:48:00Z,fully_laden,load,15,NA,NA
RUPRI,departure,218057000,9380477,2022-03-02T05:21:00Z,fully_laden,load,10,NA,NA
RUVYS,departure,240716000,9380831,2022-03-02T01:06:00Z,partially_laden,load,9.8,NA,NA
RUSKA,departure,273350980,9038969,2022-03-01T23:44:00Z,partially_laden,load,6.7,NA,NA
RUULU,departure,240147000,9276561,2022-03-01T22:21:00Z,fully_laden,load,15,NA,NA
RUPRI,departure,636021543,9235892,2022-03-01T21:09:00Z,fully_laden,load,15.1,NA,NA
RUKOZ,departure,538009108,9388730,2022-03-01T19:56:00Z,fully_laden,load,14.8,NA,NA
RULED,departure,240435000,9297321,2022-03-01T18:47:00Z,partially_laden,load,10.9,NA,NA
RUTAM,departure,538009550,9380972,2022-03-01T18:04:00Z,fully_laden,load,9.2,NA,NA
RUNVS,departure,311000903,9878905,2022-03-01T17:09:00Z,fully_laden,load,15.5,NA,NA
RUNVS,departure,215504000,9326524,2022-03-01T12:34:00Z,fully_laden,load,11,NA,NA
RUDKA,departure,209225000,9301419,2022-03-01T06:44:00Z,fully_laden,load,14.3,NA,NA
NA,departure,436000393,9323091,2022-03-01T03:32:00Z,fully_laden,load,6.5,NA,NA
RUPRI,departure,538005401,9686883,2022-03-01T01:37:00Z,fully_laden,load,10.6,NA,NA
RUNVS,departure,241322000,9270737,2022-03-01T01:05:00Z,fully_laden,load,10.3,NA,NA
RUNVS,departure,538004518,9416551,2022-03-01T00:36:00Z,fully_laden,load,11.6,NA,NA
RUULU,departure,240290000,9288708,2022-02-28T22:44:00Z,fully_laden,load,14.1,NA,NA
RUPRI,departure,636014354,9511521,2022-02-28T22:24:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,636020999,9838589,2022-02-28T21:24:00Z,fully_laden,load,13.2,NA,NA
RULED,departure,275484000,9169782,2022-02-28T20:26:00Z,fully_laden,load,8.9,NA,NA
RUPRI,departure,664444000,9365623,2022-02-28T19:08:00Z,fully_laden,load,10.2,NA,NA
RUULU,departure,636016406,9327449,2022-02-28T18:42:00Z,fully_laden,load,10.5,NA,NA
RUNVS,departure,636016464,9321847,2022-02-28T17:27:00Z,fully_laden,load,12.6,NA,NA
RUULU,departure,240730000,9307827,2022-02-28T17:17:00Z,fully_laden,load,11,NA,NA
